Merton,Arson and Criminal Damage,1227,1385,1099,1131,1393,1245,1005,1314,1185
Brent,Arson and Criminal Damage,2075,2223,2096,2098,2057,2179,2053,2126,1976
Enfield,Arson and Criminal Damage,2006,2052,2069,2106,2041,2112,1813,2115,1953
Merton,Theft,2949,3082,3098,3134,3112,3235,2283,3386,3263
Hillingdon,Burglary,2671,2221,2770,2044,2203,2349,1897,3369,2856
Enfield,Drug Offences,1422,1092,1079,939,1232,1025,1539,1143,1571
Kensington and Chelsea,Drug Offences,780,1684,1340,1470,1027,1585,1127,1335,1093
Hillingdon,Arson and Criminal Damage,2276,2332,2195,2034,2180,2514,1871,2199,2070
Barking and Dagenham,Arson and Criminal Damage,1608,1876,1477,1426,1742,1709,1309,1682,1598
Lambeth,Drug Offences,2638,2817,2265,2163,2659,2304,2525,2296,1904
Sutton,Vehicle Offences,1403,1308,2154,1753,1188,1752,2277,1709,1667
Tower Hamlets,Vehicle Offences,2683,2908,4051,3508,3021,3340,3458,2509,2669
Lewisham,Drug Offences,1320,1645,1466,1299,1595,1268,1564,1440,1720
Camden,Burglary,2931,2653,3373,3454,2836,3083,2280,2942,3094
Greenwich,Drug Offences,1235,888,1301,878,947,977,1964,1325,1314
Newham,Theft,7785,7740,9192,9221,7671,8532,7781,9243,8058
Kensington and Chelsea,Burglary,1573,1447,2152,2052,1590,1795,1613,1784,1752
Haringey,Theft,5837,7182,7057,6808,6523,7704,5568,6177,5813
Kingston upon Thames,Theft,3182,2972,3396,3600,2876,3010,2312,3580,3400
Havering,Miscellaneous Crimes Against Society,188,255,269,225,212,248,284,171,166
Lewisham,Vehicle Offences,2245,2609,4167,3403,2678,2781,3910,3137,2471
Redbridge,Burglary,2632,1995,2166,2848,2245,3017,1729,3400,2994
Harrow,Miscellaneous Crimes Against Society,141,215,186,188,164,175,230,157,140
Newham,Burglary,2488,2117,2231,2441,2275,2176,1875,3088,2921
Greenwich,Miscellaneous Crimes Against Society,325,446,405,439,395,464,425,261,299
Hammersmith and Fulham,Drug Offences,1806,1341,1128,950,1417,1065,1221,1652,1957
Ealing,Miscellaneous Crimes Against Society,291,430,368,322,323,418,468,281,304
Camden,Vehicle Offences,2801,2826,3707,3176,2626,3415,3012,2745,2749
Barking and Dagenham,Miscellaneous Crimes Against Society,251,249,282,262,259,249,328,134,201
